"","year","statecode","measure","value"
"68",2017,"AK","Homeownership Rate",65.5
"69",1984,"AZ","Homeownership Rate",65.2
"70",1985,"AZ","Homeownership Rate",64.7
"71",1986,"AZ","Homeownership Rate",62.5
"72",1987,"AZ","Homeownership Rate",63.3
"73",1988,"AZ","Homeownership Rate",66.1
"74",1989,"AZ","Homeownership Rate",63.9
"75",1990,"AZ","Homeownership Rate",64.5
"76",1991,"AZ","Homeownership Rate",66.3
"77",1992,"AZ","Homeownership Rate",69.3
"78",1993,"AZ","Homeownership Rate",69.1
"79",1994,"AZ","Homeownership Rate",67.7
"80",1995,"AZ","Homeownership Rate",62.9
"81",1996,"AZ","Homeownership Rate",62
"82",1997,"AZ","Homeownership Rate",63
"83",1998,"AZ","Homeownership Rate",64.3
"84",1999,"AZ","Homeownership Rate",66.3
"85",2000,"AZ","Homeownership Rate",68
"86",2001,"AZ","Homeownership Rate",68.1
"87",2002,"AZ","Homeownership Rate",65.6
"88",2003,"AZ","Homeownership Rate",67
"89",2004,"AZ","Homeownership Rate",68.7
"90",2005,"AZ","Homeownership Rate",71.1
"91",2006,"AZ","Homeownership Rate",71.6
"92",2007,"AZ","Homeownership Rate",70.4
"93",2008,"AZ","Homeownership Rate",69.1
"94",2009,"AZ","Homeownership Rate",68.9
"95",2010,"AZ","Homeownership Rate",66.6
"96",2011,"AZ","Homeownership Rate",66
"97",2012,"AZ","Homeownership Rate",65.3
"98",2013,"AZ","Homeownership Rate",65.1
"99",2014,"AZ","Homeownership Rate",63.5
"100",2015,"AZ","Homeownership Rate",61.7
"101",2016,"AZ","Homeownership Rate",61.9
"102",2017,"AZ","Homeownership Rate",64.4
"103",1984,"AR","Homeownership Rate",65.9
"104",1985,"AR","Homeownership Rate",66.6
"105",1986,"AR","Homeownership Rate",67.5
"106",1987,"AR","Homeownership Rate",68.1
"107",1988,"AR","Homeownership Rate",67
"108",1989,"AR","Homeownership Rate",66.3
"109",1990,"AR","Homeownership Rate",67.8
"110",1991,"AR","Homeownership Rate",68.6
"111",1992,"AR","Homeownership Rate",70.3
"112",1993,"AR","Homeownership Rate",70.5
"113",1994,"AR","Homeownership Rate",68.1
"114",1995,"AR","Homeownership Rate",67.2
"115",1996,"AR","Homeownership Rate",66.6
"116",1997,"AR","Homeownership Rate",66.7
"117",1998,"AR","Homeownership Rate",66.7
"118",1999,"AR","Homeownership Rate",65.6
"119",2000,"AR","Homeownership Rate",68.9
"120",2001,"AR","Homeownership Rate",71.2
"121",2002,"AR","Homeownership Rate",70.3
"122",2003,"AR","Homeownership Rate",69.6
"123",2004,"AR","Homeownership Rate",69.1
"124",2005,"AR","Homeownership Rate",69.2
"125",2006,"AR","Homeownership Rate",70.8
"126",2007,"AR","Homeownership Rate",69.5
"127",2008,"AR","Homeownership Rate",68.9
"128",2009,"AR","Homeownership Rate",68.5
"129",2010,"AR","Homeownership Rate",67.9
"130",2011,"AR","Homeownership Rate",67.6
"131",2012,"AR","Homeownership Rate",66
"132",2013,"AR","Homeownership Rate",65.4
"133",2014,"AR","Homeownership Rate",65.4
"134",2015,"AR","Homeownership Rate",67.1
"135",2016,"AR","Homeownership Rate",67.6
"136",2017,"AR","Homeownership Rate",65
"137",1984,"CA","Homeownership Rate",53.7
"138",1985,"CA","Homeownership Rate",54.2
"139",1986,"CA","Homeownership Rate",53.8
"140",1987,"CA","Homeownership Rate",54.3
"141",1988,"CA","Homeownership Rate",54.4
"142",1989,"CA","Homeownership Rate",53.6
"143",1990,"CA","Homeownership Rate",53.8
"144",1991,"CA","Homeownership Rate",54.5
"145",1992,"CA","Homeownership Rate",55.3
"146",1993,"CA","Homeownership Rate",56
"147",1994,"CA","Homeownership Rate",55.5
"148",1995,"CA","Homeownership Rate",55.4
"149",1996,"CA","Homeownership Rate",55
"150",1997,"CA","Homeownership Rate",55.7
"151",1998,"CA","Homeownership Rate",56
"152",1999,"CA","Homeownership Rate",55.7
"153",2000,"CA","Homeownership Rate",57.1
"154",2001,"CA","Homeownership Rate",58.2
"155",2002,"CA","Homeownership Rate",57.7
"156",2003,"CA","Homeownership Rate",58.9
"157",2004,"CA","Homeownership Rate",59.7
"158",2005,"CA","Homeownership Rate",59.7
"159",2006,"CA","Homeownership Rate",60.2
"160",2007,"CA","Homeownership Rate",58.3
"161",2008,"CA","Homeownership Rate",57.5
"162",2009,"CA","Homeownership Rate",57
"163",2010,"CA","Homeownership Rate",56.1
"164",2011,"CA","Homeownership Rate",55.3
"165",2012,"CA","Homeownership Rate",54.5
"166",2013,"CA","Homeownership Rate",54.3
"167",2014,"CA","Homeownership Rate",54.2
"168",2015,"CA","Homeownership Rate",54.3
"169",2016,"CA","Homeownership Rate",53.8
"170",2017,"CA","Homeownership Rate",54.4
"171",1984,"CO","Homeownership Rate",64.7
"172",1985,"CO","Homeownership Rate",63.6
"173",1986,"CO","Homeownership Rate",63.7
"174",1987,"CO","Homeownership Rate",61.8
"175",1988,"CO","Homeownership Rate",60.1
"176",1989,"CO","Homeownership Rate",58.6
"177",1990,"CO","Homeownership Rate",59
"178",1991,"CO","Homeownership Rate",59.8
"179",1992,"CO","Homeownership Rate",60.9
"180",1993,"CO","Homeownership Rate",61.8
"181",1994,"CO","Homeownership Rate",62.9
"182",1995,"CO","Homeownership Rate",64.6
"183",1996,"CO","Homeownership Rate",64.5
"184",1997,"CO","Homeownership Rate",64.1
"185",1998,"CO","Homeownership Rate",65.2
"186",1999,"CO","Homeownership Rate",68.1
"187",2000,"CO","Homeownership Rate",68.3
"188",2001,"CO","Homeownership Rate",68.5
"189",2002,"CO","Homeownership Rate",68.9
"190",2003,"CO","Homeownership Rate",71.3
"191",2004,"CO","Homeownership Rate",71.1
"192",2005,"CO","Homeownership Rate",71
"193",2006,"CO","Homeownership Rate",70.1
"194",2007,"CO","Homeownership Rate",70.2
"195",2008,"CO","Homeownership Rate",69
"196",2009,"CO","Homeownership Rate",68.4
"197",2010,"CO","Homeownership Rate",68.5
"198",2011,"CO","Homeownership Rate",65.9
"199",2012,"CO","Homeownership Rate",65.3
"200",2013,"CO","Homeownership Rate",64.4
"201",2014,"CO","Homeownership Rate",65
"202",2015,"CO","Homeownership Rate",63.6
"203",2016,"CO","Homeownership Rate",62.4
"204",2017,"CO","Homeownership Rate",63.7
"205",1984,"CT","Homeownership Rate",67.8
"206",1985,"CT","Homeownership Rate",69
"207",1986,"CT","Homeownership Rate",68.1
"208",1987,"CT","Homeownership Rate",67
"209",1988,"CT","Homeownership Rate",66.5
"210",1989,"CT","Homeownership Rate",66.4
"211",1990,"CT","Homeownership Rate",67.9
"212",1991,"CT","Homeownership Rate",65.5
"213",1992,"CT","Homeownership Rate",66.1
"214",1993,"CT","Homeownership Rate",64.5
"215",1994,"CT","Homeownership Rate",63.8
"216",1995,"CT","Homeownership Rate",68.2
"217",1996,"CT","Homeownership Rate",69
"218",1997,"CT","Homeownership Rate",68.1
"219",1998,"CT","Homeownership Rate",69.3
"220",1999,"CT","Homeownership Rate",69.1
"221",2000,"CT","Homeownership Rate",70
"222",2001,"CT","Homeownership Rate",71.8
"223",2002,"CT","Homeownership Rate",71.5
"224",2003,"CT","Homeownership Rate",73
"225",2004,"CT","Homeownership Rate",71.7
"226",2005,"CT","Homeownership Rate",70.5
"227",2006,"CT","Homeownership Rate",71.1
"228",2007,"CT","Homeownership Rate",70.3
"229",2008,"CT","Homeownership Rate",70.7
"230",2009,"CT","Homeownership Rate",70.5
"231",2010,"CT","Homeownership Rate",70.8
"232",2011,"CT","Homeownership Rate",70.6
"233",2012,"CT","Homeownership Rate",68.8
"234",2013,"CT","Homeownership Rate",68.5
"235",2014,"CT","Homeownership Rate",67.4
"236",2015,"CT","Homeownership Rate",66.5
"237",2016,"CT","Homeownership Rate",64.2
"238",2017,"CT","Homeownership Rate",66.1
"239",1984,"DE","Homeownership Rate",70.4
"240",1985,"DE","Homeownership Rate",70.3
"241",1986,"DE","Homeownership Rate",71
"242",1987,"DE","Homeownership Rate",71.1
"243",1988,"DE","Homeownership Rate",70.1
"244",1989,"DE","Homeownership Rate",68.7
"245",1990,"DE","Homeownership Rate",67.7
"246",1991,"DE","Homeownership Rate",70.2
"247",1992,"DE","Homeownership Rate",73.8
"248",1993,"DE","Homeownership Rate",74.1
"249",1994,"DE","Homeownership Rate",70.5
"250",1995,"DE","Homeownership Rate",71.7
"251",1996,"DE","Homeownership Rate",71.5
"252",1997,"DE","Homeownership Rate",69.2
"253",1998,"DE","Homeownership Rate",71
"254",1999,"DE","Homeownership Rate",71.6
"255",2000,"DE","Homeownership Rate",72
"256",2001,"DE","Homeownership Rate",75.4
"257",2002,"DE","Homeownership Rate",75.6
"258",2003,"DE","Homeownership Rate",77.2
"259",2004,"DE","Homeownership Rate",77.3
"260",2005,"DE","Homeownership Rate",75.8
"261",2006,"DE","Homeownership Rate",76.8
"262",2007,"DE","Homeownership Rate",76.8
"263",2008,"DE","Homeownership Rate",76.2
"264",2009,"DE","Homeownership Rate",76.5
"265",2010,"DE","Homeownership Rate",74.7
"266",2011,"DE","Homeownership Rate",74.2
"267",2012,"DE","Homeownership Rate",73.4
"268",2013,"DE","Homeownership Rate",74.1
"269",2014,"DE","Homeownership Rate",74.3
"270",2015,"DE","Homeownership Rate",73.3
"271",2016,"DE","Homeownership Rate",73
"272",2017,"DE","Homeownership Rate",70
"273",1984,"DC","Homeownership Rate",37.3
"274",1985,"DC","Homeownership Rate",37.4
"275",1986,"DC","Homeownership Rate",34.6
"276",1987,"DC","Homeownership Rate",35.8
"277",1988,"DC","Homeownership Rate",37.5
"278",1989,"DC","Homeownership Rate",38.7
"279",1990,"DC","Homeownership Rate",36.4
"280",1991,"DC","Homeownership Rate",35.1
"281",1992,"DC","Homeownership Rate",35
"282",1993,"DC","Homeownership Rate",35.7
"283",1994,"DC","Homeownership Rate",37.8
"284",1995,"DC","Homeownership Rate",39.2
"285",1996,"DC","Homeownership Rate",40.4
"286",1997,"DC","Homeownership Rate",42.5
"287",1998,"DC","Homeownership Rate",40.3
"288",1999,"DC","Homeownership Rate",40
"289",2000,"DC","Homeownership Rate",41.9
"290",2001,"DC","Homeownership Rate",42.7
"291",2002,"DC","Homeownership Rate",44.1
"292",2003,"DC","Homeownership Rate",43
"293",2004,"DC","Homeownership Rate",45.6
"294",2005,"DC","Homeownership Rate",45.8
"295",2006,"DC","Homeownership Rate",45.9
"296",2007,"DC","Homeownership Rate",47.2
"297",2008,"DC","Homeownership Rate",44.1
"298",2009,"DC","Homeownership Rate",44.9
"299",2010,"DC","Homeownership Rate",45.6
"300",2011,"DC","Homeownership Rate",44.8
"301",2012,"DC","Homeownership Rate",45
"302",2013,"DC","Homeownership Rate",44.6
"303",2014,"DC","Homeownership Rate",41.5
"304",2015,"DC","Homeownership Rate",40.4
"305",2016,"DC","Homeownership Rate",40.8
"306",2017,"DC","Homeownership Rate",40.3
"307",1984,"FL","Homeownership Rate",66.5
"308",1985,"FL","Homeownership Rate",67.2
"309",1986,"FL","Homeownership Rate",66.5
"310",1987,"FL","Homeownership Rate",66.3
"311",1988,"FL","Homeownership Rate",64.9
"312",1989,"FL","Homeownership Rate",64.4
"313",1990,"FL","Homeownership Rate",65.1
"314",1991,"FL","Homeownership Rate",66.1
"315",1992,"FL","Homeownership Rate",66
"316",1993,"FL","Homeownership Rate",65.5
"317",1994,"FL","Homeownership Rate",65.7
"318",1995,"FL","Homeownership Rate",66.6
"319",1996,"FL","Homeownership Rate",67.1
"320",1997,"FL","Homeownership Rate",66.9
"321",1998,"FL","Homeownership Rate",66.9
"322",1999,"FL","Homeownership Rate",67.6
"323",2000,"FL","Homeownership Rate",68.4
"324",2001,"FL","Homeownership Rate",69.2
"325",2002,"FL","Homeownership Rate",68.7
"326",2003,"FL","Homeownership Rate",69.5
"327",2004,"FL","Homeownership Rate",72.2
"328",2005,"FL","Homeownership Rate",72.4
"329",2006,"FL","Homeownership Rate",72.4
"330",2007,"FL","Homeownership Rate",71.8
"331",2008,"FL","Homeownership Rate",71.1
"332",2009,"FL","Homeownership Rate",70.9
"333",2010,"FL","Homeownership Rate",69.3
"334",2011,"FL","Homeownership Rate",69
"335",2012,"FL","Homeownership Rate",67
"336",2013,"FL","Homeownership Rate",66.1
"337",2014,"FL","Homeownership Rate",64.9
"338",2015,"FL","Homeownership Rate",64.8
"339",2016,"FL","Homeownership Rate",64.3
"340",2017,"FL","Homeownership Rate",64.1
"341",1984,"GA","Homeownership Rate",63.6
"342",1985,"GA","Homeownership Rate",62.7
"343",1986,"GA","Homeownership Rate",62.4
"344",1987,"GA","Homeownership Rate",63.9
"345",1988,"GA","Homeownership Rate",64.8
"346",1989,"GA","Homeownership Rate",64.7
"347",1990,"GA","Homeownership Rate",64.3
"348",1991,"GA","Homeownership Rate",65.7
"349",1992,"GA","Homeownership Rate",66.9
"350",1993,"GA","Homeownership Rate",66.5
"351",1994,"GA","Homeownership Rate",63.4
"352",1995,"GA","Homeownership Rate",66.6
"353",1996,"GA","Homeownership Rate",69.3
"354",1997,"GA","Homeownership Rate",70.9
"355",1998,"GA","Homeownership Rate",71.2
"356",1999,"GA","Homeownership Rate",71.3
"357",2000,"GA","Homeownership Rate",69.8
"358",2001,"GA","Homeownership Rate",70.1
"359",2002,"GA","Homeownership Rate",71.8
"360",2003,"GA","Homeownership Rate",71.4
"361",2004,"GA","Homeownership Rate",70.9
"362",2005,"GA","Homeownership Rate",67.9
"363",2006,"GA","Homeownership Rate",68.5
"364",2007,"GA","Homeownership Rate",67.6
"365",2008,"GA","Homeownership Rate",68.2
"366",2009,"GA","Homeownership Rate",67.4
"367",2010,"GA","Homeownership Rate",67.1
"368",2011,"GA","Homeownership Rate",66.2
"369",2012,"GA","Homeownership Rate",64.3
"370",2013,"GA","Homeownership Rate",64.2
"371",2014,"GA","Homeownership Rate",62.9
"372",2015,"GA","Homeownership Rate",62.9
"373",2016,"GA","Homeownership Rate",62.3
"374",2017,"GA","Homeownership Rate",62.8
"375",1984,"HI","Homeownership Rate",50.7
"376",1985,"HI","Homeownership Rate",51
"377",1986,"HI","Homeownership Rate",50.9
"378",1987,"HI","Homeownership Rate",50.7
"379",1988,"HI","Homeownership Rate",53.2
"380",1989,"HI","Homeownership Rate",54.7
"381",1990,"HI","Homeownership Rate",55.5
"382",1991,"HI","Homeownership Rate",55.2
"383",1992,"HI","Homeownership Rate",53.8
"384",1993,"HI","Homeownership Rate",52.8
"385",1994,"HI","Homeownership Rate",52.3
"386",1995,"HI","Homeownership Rate",50.2
"387",1996,"HI","Homeownership Rate",50.6
"388",1997,"HI","Homeownership Rate",50.2
"389",1998,"HI","Homeownership Rate",52.8
"390",1999,"HI","Homeownership Rate",56.6
"391",2000,"HI","Homeownership Rate",55.2
"392",2001,"HI","Homeownership Rate",55.5
"393",2002,"HI","Homeownership Rate",57.9
"394",2003,"HI","Homeownership Rate",58.3
"395",2004,"HI","Homeownership Rate",60.6
"396",2005,"HI","Homeownership Rate",59.8
"397",2006,"HI","Homeownership Rate",59.9
"398",2007,"HI","Homeownership Rate",60.1
"399",2008,"HI","Homeownership Rate",59.1
"400",2009,"HI","Homeownership Rate",59.5
"401",2010,"HI","Homeownership Rate",56.1
"402",2011,"HI","Homeownership Rate",55.4
"403",2012,"HI","Homeownership Rate",57.2
"404",2013,"HI","Homeownership Rate",57.3
"405",2014,"HI","Homeownership Rate",58.4
"406",2015,"HI","Homeownership Rate",59.3
"407",2016,"HI","Homeownership Rate",57.7
"408",2017,"HI","Homeownership Rate",55.9
"409",1984,"ID","Homeownership Rate",69.7
"410",1985,"ID","Homeownership Rate",71
"411",1986,"ID","Homeownership Rate",69.8
"412",1987,"ID","Homeownership Rate",71.6
"413",1988,"ID","Homeownership Rate",71.5
"414",1989,"ID","Homeownership Rate",70.2
"415",1990,"ID","Homeownership Rate",69.4
"416",1991,"ID","Homeownership Rate",68.4
"417",1992,"ID","Homeownership Rate",70.3
"418",1993,"ID","Homeownership Rate",72.1
"419",1994,"ID","Homeownership Rate",70.7
"420",1995,"ID","Homeownership Rate",72
"421",1996,"ID","Homeownership Rate",71.4
"422",1997,"ID","Homeownership Rate",72.3
"423",1998,"ID","Homeownership Rate",72.6
"424",1999,"ID","Homeownership Rate",70.3
"425",2000,"ID","Homeownership Rate",70.5
"426",2001,"ID","Homeownership Rate",71.7
"427",2002,"ID","Homeownership Rate",73
"428",2003,"ID","Homeownership Rate",74.4
"429",2004,"ID","Homeownership Rate",73.7
"430",2005,"ID","Homeownership Rate",74.2
"431",2006,"ID","Homeownership Rate",75.1
"432",2007,"ID","Homeownership Rate",74.5
"433",2008,"ID","Homeownership Rate",75
"434",2009,"ID","Homeownership Rate",75.5
"435",2010,"ID","Homeownership Rate",72.4
"436",2011,"ID","Homeownership Rate",72.4
"437",2012,"ID","Homeownership Rate",73
"438",2013,"ID","Homeownership Rate",71.5
"439",2014,"ID","Homeownership Rate",69.6
"440",2015,"ID","Homeownership Rate",70
"441",2016,"ID","Homeownership Rate",70.5
"442",2017,"ID","Homeownership Rate",69.9
"443",1984,"IL","Homeownership Rate",62.4
"444",1985,"IL","Homeownership Rate",60.6
"445",1986,"IL","Homeownership Rate",60.9
"446",1987,"IL","Homeownership Rate",61
"447",1988,"IL","Homeownership Rate",61.4
"448",1989,"IL","Homeownership Rate",61.9
"449",1990,"IL","Homeownership Rate",63
"450",1991,"IL","Homeownership Rate",63
"451",1992,"IL","Homeownership Rate",62.4
"452",1993,"IL","Homeownership Rate",61.8
"453",1994,"IL","Homeownership Rate",64.2
"454",1995,"IL","Homeownership Rate",66.4
"455",1996,"IL","Homeownership Rate",68.2
"456",1997,"IL","Homeownership Rate",68.1
"457",1998,"IL","Homeownership Rate",68
"458",1999,"IL","Homeownership Rate",67.1
"459",2000,"IL","Homeownership Rate",67.9
"460",2001,"IL","Homeownership Rate",69.4
"461",2002,"IL","Homeownership Rate",70.1
"462",2003,"IL","Homeownership Rate",70.7
"463",2004,"IL","Homeownership Rate",72.7
"464",2005,"IL","Homeownership Rate",70.9
"465",2006,"IL","Homeownership Rate",70.4
"466",2007,"IL","Homeownership Rate",69.4
"467",2008,"IL","Homeownership Rate",68.9
"468",2009,"IL","Homeownership Rate",69.1
"469",2010,"IL","Homeownership Rate",68.8
"470",2011,"IL","Homeownership Rate",68.4
"471",2012,"IL","Homeownership Rate",66.8
"472",2013,"IL","Homeownership Rate",67.2
"473",2014,"IL","Homeownership Rate",66.4
"474",2015,"IL","Homeownership Rate",65.4
"475",2016,"IL","Homeownership Rate",65.3
"476",2017,"IL","Homeownership Rate",65.4
"477",1984,"IN","Homeownership Rate",69.9
"478",1985,"IN","Homeownership Rate",67.6
"479",1986,"IN","Homeownership Rate",67.6
"480",1987,"IN","Homeownership Rate",69.1
"481",1988,"IN","Homeownership Rate",68.3
"482",1989,"IN","Homeownership Rate",68.2
"483",1990,"IN","Homeownership Rate",67
"484",1991,"IN","Homeownership Rate",66.1
"485",1992,"IN","Homeownership Rate",67.6
"486",1993,"IN","Homeownership Rate",68.7
"487",1994,"IN","Homeownership Rate",68.4
"488",1995,"IN","Homeownership Rate",71
"489",1996,"IN","Homeownership Rate",74.2
"490",1997,"IN","Homeownership Rate",74.1
"491",1998,"IN","Homeownership Rate",72.6
"492",1999,"IN","Homeownership Rate",72.9
"493",2000,"IN","Homeownership Rate",74.9
"494",2001,"IN","Homeownership Rate",75.3
"495",2002,"IN","Homeownership Rate",75.1
"496",2003,"IN","Homeownership Rate",74.4
"497",2004,"IN","Homeownership Rate",75.8
"498",2005,"IN","Homeownership Rate",75
"499",2006,"IN","Homeownership Rate",74.2
"500",2007,"IN","Homeownership Rate",73.8
"501",2008,"IN","Homeownership Rate",74.4
"502",2009,"IN","Homeownership Rate",72
"503",2010,"IN","Homeownership Rate",71.2
"504",2011,"IN","Homeownership Rate",72.1
"505",2012,"IN","Homeownership Rate",72.1
"506",2013,"IN","Homeownership Rate",71.7
"507",2014,"IN","Homeownership Rate",70.1
"508",2015,"IN","Homeownership Rate",69.4
"509",2016,"IN","Homeownership Rate",70.9
"510",2017,"IN","Homeownership Rate",70
"511",1984,"IA","Homeownership Rate",71.3
"512",1985,"IA","Homeownership Rate",69.9
"513",1986,"IA","Homeownership Rate",69.2
"514",1987,"IA","Homeownership Rate",67.7
"515",1988,"IA","Homeownership Rate",68.3
"516",1989,"IA","Homeownership Rate",69.6
"517",1990,"IA","Homeownership Rate",70.7
"518",1991,"IA","Homeownership Rate",68.4
"519",1992,"IA","Homeownership Rate",66.3
"520",1993,"IA","Homeownership Rate",68.2
"521",1994,"IA","Homeownership Rate",70.1
"522",1995,"IA","Homeownership Rate",71.4
"523",1996,"IA","Homeownership Rate",72.8
"524",1997,"IA","Homeownership Rate",72.7
"525",1998,"IA","Homeownership Rate",72.1
"526",1999,"IA","Homeownership Rate",73.9
"527",2000,"IA","Homeownership Rate",75.2
"528",2001,"IA","Homeownership Rate",76.6
"529",2002,"IA","Homeownership Rate",73.9
"530",2003,"IA","Homeownership Rate",73.4
"531",2004,"IA","Homeownership Rate",73.2
"532",2005,"IA","Homeownership Rate",73.9
"533",2006,"IA","Homeownership Rate",74
"534",2007,"IA","Homeownership Rate",73.7
"535",2008,"IA","Homeownership Rate",74
"536",2009,"IA","Homeownership Rate",72.4
"537",2010,"IA","Homeownership Rate",71.1
"538",2011,"IA","Homeownership Rate",71.2
"539",2012,"IA","Homeownership Rate",70.2
"540",2013,"IA","Homeownership Rate",69.8
"541",2014,"IA","Homeownership Rate",69.4
"542",2015,"IA","Homeownership Rate",68.8
"543",2016,"IA","Homeownership Rate",70
"544",2017,"IA","Homeownership Rate",70
"545",1984,"KS","Homeownership Rate",72.7
"546",1985,"KS","Homeownership Rate",68.3
"547",1986,"KS","Homeownership Rate",66.4
"548",1987,"KS","Homeownership Rate",67.9
"549",1988,"KS","Homeownership Rate",68.6
"550",1989,"KS","Homeownership Rate",68.1
"551",1990,"KS","Homeownership Rate",69
"552",1991,"KS","Homeownership Rate",69.7
"553",1992,"KS","Homeownership Rate",69.8
"554",1993,"KS","Homeownership Rate",68.9
"555",1994,"KS","Homeownership Rate",69
"556",1995,"KS","Homeownership Rate",67.5
"557",1996,"KS","Homeownership Rate",67.5
"558",1997,"KS","Homeownership Rate",66.5
"559",1998,"KS","Homeownership Rate",66.7
"560",1999,"KS","Homeownership Rate",67.5
"561",2000,"KS","Homeownership Rate",69.3
"562",2001,"KS","Homeownership Rate",70.4
"563",2002,"KS","Homeownership Rate",70.3
"564",2003,"KS","Homeownership Rate",70.3
"565",2004,"KS","Homeownership Rate",69.9
"566",2005,"KS","Homeownership Rate",69.5
"567",2006,"KS","Homeownership Rate",70
"568",2007,"KS","Homeownership Rate",69.4
"569",2008,"KS","Homeownership Rate",68.8
"570",2009,"KS","Homeownership Rate",67.4
"571",2010,"KS","Homeownership Rate",67.4
"572",2011,"KS","Homeownership Rate",65.4
"573",2012,"KS","Homeownership Rate",63.2
"574",2013,"KS","Homeownership Rate",63.5
"575",2014,"KS","Homeownership Rate",64.7
"576",2015,"KS","Homeownership Rate",64.9
"577",2016,"KS","Homeownership Rate",67.1
"578",2017,"KS","Homeownership Rate",66
"579",1984,"KY","Homeownership Rate",70.2
"580",1985,"KY","Homeownership Rate",68.5
"581",1986,"KY","Homeownership Rate",68.1
"582",1987,"KY","Homeownership Rate",67.6
"583",1988,"KY","Homeownership Rate",65.4
"584",1989,"KY","Homeownership Rate",64.9
"585",1990,"KY","Homeownership Rate",65.8
"586",1991,"KY","Homeownership Rate",67.2
"587",1992,"KY","Homeownership Rate",69
"588",1993,"KY","Homeownership Rate",68.8
"589",1994,"KY","Homeownership Rate",70.6
"590",1995,"KY","Homeownership Rate",71.2
"591",1996,"KY","Homeownership Rate",73.2
"592",1997,"KY","Homeownership Rate",75
"593",1998,"KY","Homeownership Rate",75.1
"594",1999,"KY","Homeownership Rate",73.9
"595",2000,"KY","Homeownership Rate",73.4
"596",2001,"KY","Homeownership Rate",73.9
"597",2002,"KY","Homeownership Rate",73.7
"598",2003,"KY","Homeownership Rate",74.4
"599",2004,"KY","Homeownership Rate",73.3
"600",2005,"KY","Homeownership Rate",71.6
"601",2006,"KY","Homeownership Rate",71.7
"602",2007,"KY","Homeownership Rate",72.9
"603",2008,"KY","Homeownership Rate",72.8
"604",2009,"KY","Homeownership Rate",71.2
"605",2010,"KY","Homeownership Rate",70.3
"606",2011,"KY","Homeownership Rate",69.1
"607",2012,"KY","Homeownership Rate",68.7
"608",2013,"KY","Homeownership Rate",67.5
"609",2014,"KY","Homeownership Rate",67.6
"610",2015,"KY","Homeownership Rate",67.9
"611",2016,"KY","Homeownership Rate",67.9
